nuts2_id,nuts2_name,country,medals,nuts2_population,medals_per_million_residents
FRY1,Guadeloupe,France,3,410013,7.31684117332865
FRY2,Martinique ,France,1,353444,2.829302520342685
ITH4,Friuli-Venezia Giulia,Italy,2,1194248,1.6746940334000977
SK01,Bratislavský kraj,Slovakia,1,728370,1.372928593983827
FRJ2,Midi-Pyrénées,France,4,3168890,1.2622716471698292
SE31,Norra Mellansverige,Sweden,1,859620,1.1633047160373189
FRJ1,Languedoc-Roussillon,France,3,2941209,1.0199887189247687
HR02,Panonska Hrvatska,Croatia,1,999106,1.0008947999511564
SI04,Zahodna Slovenija,Slovenia,1,1009087,0.990994829979972
FRC2,Franche-Comté,France,1,1179388,0.8478973840669907
ITH3,Veneto,Italy,4,4849553,0.8248182873761767
ITI1,Toscana,Italy,3,3661981,0.8192287180080946
FRF2,Champagne-Ardenne,France,1,1311569,0.7624455899765853
FR10,Ile-de-France,France,9,12388388,0.7264867713216603
ITH5,Emilia-Romagna,Italy,3,4437578,0.6760444548805677
ITC3,Liguria,Italy,1,1507636,0.6632900779763816
BE23,Prov. Oost-Vlaanderen,Belgium,1,1563346,0.6396536659191248
SE22,Sydsverige,Sweden,1,1573064,0.6357020439092116
CH04,Zürich,Switzerland,1,1579967,0.6329246117165739
PL21,Małopolskie,Poland,2,3319305,0.6025357717956018
HU11,Budapest,Hungary,1,1671004,0.5984426129440743
RS11,City of Belgrade,Serbia,1,1683033,0.5941654144630557
BE21,Prov. Antwerpen,Belgium,1,1915921,0.521942188639302
FRE2,Picardie,France,1,1916353,0.521824528153216
CH02,Espace Mittelland,Switzerland,1,1918746,0.5211737249224233
FRF1,Alsace,France,1,1932857,0.5173688482903805
FRG0,Pays de la Loire,France,2,3902115,0.5125425570491899
ITF4,Puglia,Italy,2,3907683,0.5118122427023891
ITC1,Piemonte,Italy,2,4251351,0.47043869113606473
DEE0,Sachsen-Anhalt,Germany,1,2186643,0.45732202284506435
FRK2,Rhône-Alpes,France,3,6827323,0.4394108789052458
RO32,Bucureşti-Ilfov,Romania,1,2290125,0.4366573876971781
ITG1,Sicilia,Italy,2,4814016,0.41545354232308324
SE11,Stockholm,Sweden,1,2440027,0.4098315305527357
FRB0,Centre — Val de Loire,France,1,2572735,0.3886914120575963
FRL0,Provence-Alpes-Côte d’Azur,France,2,5173952,0.38655171134173644
ITC4,Lombardia,Italy,3,9976509,0.3007063893792909
TR63,"Hatay, Kahramanmaraş, Osmaniye",Turkey,1,3422884,0.2921512969764678
FRH0,Bretagne,France,1,3432901,0.2912988169481147
FRE1,Nord-Pas de Calais,France,1,4070111,0.24569354496720114
DE71,Darmstadt,Germany,1,4088107,0.24461199278786
ITF3,Campania,Italy,1,5609536,0.1782678638661023
TR51,Ankara,Turkey,1,5782285,0.17294201167877404
ES30,Comunidad de Madrid,Spain,1,6871903,0.14552009829009518
XK00,Kosovo,Kosovo,2,NA,NA
UA41,Mykolaivska Oblast,Ukraine,1,NA,NA
